,comp_name,job_description,job_location,job_posted,job_title
83,"Nintendo of America, Inc.", Nintendo of America Inc.   The worldwide pioneer in the creation of interactive entertainment  Nintendo Co.  Ltd.  of Kyoto  Japan  manufactures and markets hardware and software for its Wii U   and Wii   home consoles  and Nintendo 3DS   and Nintendo DS   families of portable systems. Since    3  when it launched the Nintendo Entertainment System    Nintendo has sold more than  .3 billion video games and more than     million hardware units globally  including the current generation Wii U  Nintendo 3DS and Nintendo 3DS XL  as well as the Game Boy    Game Boy Advance  Nintendo DS  Nintendo DSi   and Nintendo DSi XL    Super NES    Nintendo       Nintendo GameCube   and Wii systems. It has also created industry icons that have become well known  household names such as Mario    Donkey Kong    Metroid    Zelda   and Pokemon  . A wholly owned subsidiary  Nintendo of America Inc.  based in Redmond  Wash.  serves as headquarters for Nintendo s operations in the Western Hemisphere. For more information about Nintendo  please visit the company s website at   http   www.nintendo.com   .       DESCRIPTION OF DUTIES  Use analytical and database skills to develop reports and analyses to assist leadership and marketing operations teams.  Work with team leadership and business owners to define goals  metrics and guide decisions using business intelligence reporting methods.  Provide technical expertise in the design  development  and delivery of report automation  Automate frequently utilized reporting Manage data flow from data warehouse to visualization tools. Perform data auditing and troubleshooting.  Maintain existing suite of automated reports.  Perform ad hoc analyses to answer business questions or generate data sets.   Qualifications  SUMMARY OF REQUIREMENTS Three plus years of experience developing dashboards  and analytics experience.  One or more years of experience working in the business intelligence field  Expertise in SQL  Ability to work with extremely large datasets. Experience in working with Data visualization tools such as Tableau  building interactive reports  complex dashboards for different audiences  creating calculated KPIs or metrics by writing complex formulas.  Understanding of data warehousing and associated concepts  OLAP  ETL  Dimensional model  ability to write script tools for automation  Proven ability to quickly learn new systems and tools. Experience in analytical insights or business intelligence processes Knowledge of how to extract  clean and manipulate data from multiple systems into reporting objects for analysis.    We are an equal opportunity employer of individuals with disabilities and protected veterans....valuing diversity...celebrating strengths. NOA RG   Department   Nintendo of America Inc.   ,"Redmond, WA",19 hours ago,Business Intelligence Reporting Analyst
84,Port of Seattle, PURPOSE Provide enterprise operational support for the Port of Seattle s Information Communication   Technology  ICT  Infrastructure. ESSENTIAL FUNCTIONS This list is ILLUSTRATIVE ONLY  and is not a comprehensive listing of all functions and duties performed. Essential duties and responsibilities may include  but are not limited to  the following Monitor and execute operational tasks for core ICT infrastructure  including servers  network  and applications.  Coordinate and implement operational tasks related to the ICT Infrastructure  backup  basic patch management  basic software deployments   First level triage of servers  UPS s  telephones  surveillance and access control devices and second tier escalation for technical problems related to the ICT infrastructure.  Integrate with the ICT Service desk to provide enhanced customer service  escalation  and triage for ICT related incidents.  Contribute to the development and implementation of pro active problem prevention  serve as remote hands for engineers  identify problem trends and take steps to prevent recurrence.  Ensure infrastructure integrity through backups  data replication  restores and data verification.  Prepare daily logs and turnover reports for various ICT staff  maintain change management calendar for visibility of scheduled   unscheduled changes throughout the organization.  Control inventory  integrity and access to ICT data centers and secure locations.  Perform Network Security Administration. Participate in special projects as necessary. KNOWLEDGE  SKILLS   ABILITIES Must have some knowledge of    .  A B G N AC wireless networking and IPTEL phones. Knowledge of Veritas Netbackup  .x  Veeam Backup and Replication  DocAve and Exagrid site to site data replication between Data Centers. Must be able to provide data file integrity for disaster recovery purposes.  Must be knowledgeable of the escalation process and customer service level agreements. Must be knowledgeable in AD network security administration.  Must be detail and process orientated with excellent written and verbal communication skills. Experience using remote access tools to maintain a geographically distributed ICT infrastructure.  Experience with various monitoring suites including Nagios  SCOM  OpenNMS  SiteScope  VMWare vSphere  Ciscoworks and Netbotz StruxureWare Central. Must be able to work independently and as a part of a team environment.  Must have effective communication skills and recall ability. Must have excellent documentation skills to write and maintain troubleshooting procedures.  Must be able to troubleshoot and diagnose problems in a complex client server environment of Windows Win   Win    Desktop  Windows           server  Linux  various databases  Cisco TCP IP based networks and network devices.  Must be able to write and maintain procedural documentation and provide a professional NOC environment. Must be able to work overtime on short notice or a no notice basis due to production and or equipment type failures. Must be able to carry a cell phone during shift time hours and occasionally after shift hours for on call support.   Must be able to multi task in a high stress environment.  Must be able to quickly respond and determine severity of incidents as they happen.  Must be able to lift a minimum of    lbs.  bending  kneeling  stooping crouching  twisting  squatting  crawling  reaching and climbing.  Must be able to travel to other Port locations as needed even during inclement weather at all hours of the day or night.  Ability to work in cramped  dark areas with small tools is required. QUALIFICATIONS Combination of education and experience demonstrating knowledge  skills and abilities equivalent to  A high school diploma or GED At least one     year of Network Operations Center  NOC  experience with additional technical training classes Familiarity with various network and application monitoring suites PC skills and experience with MS office products  andPrior experience troubleshooting technical problems particularly over the phone.  PREFERRED QUALIFICATIONS  Minimum three  3  years of NOC experience with additional related technical training Experience using Veritas Netbackup  Veeam Backup and Restore  DocAve and Exagrid Demonstrated experience in providing professional customer support related to computing services Some knowledge of Oracle  UNIX  LINUX  Windows Server            Active Directory  network connectivity  topology and protocols Familiarity of routers  hubs and switches preferred Knowledge of Sagem Morpho access device controllers and Axis  Bosch and Panasonic PTZ and fixed cameras.The Port of Seattle is an Equal Opportunity Employer  Affirmative Action Employer and is committed to diversity in the workplace. Minorities  women  veterans and individuals with disabiliites are encouraged to apply.     ,"Seattle, WA",2 days ago,Infrastructure Operations Tech (Info. & Communications Technology)
85,Sea Mar Community Health Centers, Posting #   3    BI Developer   Full time position in Seattle. Experienced business systems analyst with primary area of responsibility in support of medical records and practice management systems. Data analysis and report generation in support of internal and external reporting requirements. Create ad hoc query reports based on the requirements provided by the users and design reports using SSRS when required. Build developer test cases to ensure changes in the system are in compliance with business requirements prior to user acceptance testing.  Required   Bachelors or Master s Degree in Computer Science or related discipline or equivalent work experience  Competence with testing  flowcharting  and data mapping tools and procedures desired. Two plus years of experience with system integration. Two plus years of experience with reporting and report creation.  + years hands on experience with SQL Server          . Demonstrated understanding of T SQL and T SQL reporting in SQL Server or related RDBMS. Familiarity with client server technology  LANs  end user reporting tools. Excellent skills with Microsoft Office products.  Demonstrated history of working successfully independently and as part of a team.  Desired  Three plus years medical dental application support or closely related OLTP applications. SSRS SSIS   Crystal Reports experience. Vendor management experience.Please send cover letter and resume to Sea Mar Community Health Centers at ITRecruiting seamarchc.org   ,"Seattle, WA",1 week ago,BI Developer
86,GHA Technologies, GHA Technologies is GROWING  We are now hiring experienced money motivated B B Outside Sales Executives  Nationwide  US.  Successful Resellers  Sales Professionals  Sales Engineers and National Account Managers are encouraged to apply   Bring your experience  sales skills  and education to GHA Technologies for the HIGHEST commission rate and best compensation plan in the industry  We Offer Our Sales Executives  Uncapped Commission             of GP  + Bonuses Health and Dental Insurance Plans    K Company Stock Ownership Plan Industry Leading Promotional Offers  As our Sales Executive  you will be calling on businesses to sell our extensive technical services and product lines.  Products and brands that you will be representing include  Apple  HP  IBM  Lenovo  Dell  VMWare  NetApp  Adobe  QLogic  EMC  Fujitsu  Microsoft  Intel  Cisco  all the hottest Data Center  Virtualization  Energy Conservation  Cloud  Storage  Security  Wireless  Video  Telephony and Identification technologies  as well as  toner  computer supplies  hardware  software  networking  cables  fiber optics  video conferencing  document Imaging power protection  point of sale  RFID  ID badges  digital signage  IT infrastructure  and IT services   Requirements Two or more years of recent technology sales experience is required  computers  wireless  telephony  security  data center  virtualization  energy conservation  video  copier imaging. Special consideration and Bonus Incentives for Sales Professionals with the following Certifications   Cisco CCNA CCDA  VMWare  IBM  Symantec  HP  Dell Microsoft  EMC  Palo Alto  Fire Eye  and Barracuda. Must have a clean driving record  and adequate liability insurance coverage  since Outside Sales is involved. If you meet the required experience  you know how to make outside sales calls and sell  we invite you to apply today  raise your commissions and bonus  and enjoy the ride as we grow to become a      million dollar corporate success story   To Apply Select Apply Now on the Dice site.   Or Send resume by  Fax or Mail to  no calls please    GHA Technologies Attn  Company Recruiter      E. Raintree Dr.Scottsdale  AZ       Fax     3    3   3  or                During this phase of our recruiting effort we will not be able to accept telephone calls  but we would like to receive your resume.  Candidates only  no Recruiters Agencies please. GHA Technologies is an Equal Opportunity Employer. About Us GHA Technologies  Inc. is a nationally expanding network  computer reseller and systems integrator with offices nationwide. GHA is listed as the   th largest private corporation in Arizona and #    on the Var     for the entire USA. We sell HP  Dell  IBM  Lenovo  Nimble  EMC  NetApp  Sony  Apple  VMware  Samsung  Fujitsu  APC  Symantec  Panasonic  Microsoft  Intel  Cisco  and all the latest storage  datacenter  virtualization  cloud  security  VoIP  wireless  video and identification technologies. We also specialize in mission critical product procurement and integration services for some of the largest corporate  government  and educational clients in the US. Our client base is a Who s Who of Corporate America.Currently  GHA has over     employees with annual sales of approximately      million and growing at a rate of    . GHA continues to hire   to    new sales professionals every five weeks nationwide. GHA has highly motivated and talented salespeople who provide the highest level of service to their customers.  ,"Seattle, WA",2 days ago,"Outside Sales Executives, Nationwide"
87,CenturyLink,    CenturyLink  NYSE  CTL  is a global communications  hosting  cloud and IT services company enabling millions of customers to transform their businesses and their lives through innovative technology solutions. CenturyLink offers network and data systems management  Big Data analytics and IT consulting  and operates more than    data centers in North America  Europe and Asia. The company provides broadband  voice  video  data and managed services over a robust         route mile U.S. fiber network and a 3       route mile international transport network.          We have an opening for an experienced Software Development Engineer to expand our team of engineers working within the Data Analytics Group. As part of this team you will be responsible for collecting large volumes of data from CenturyLink s global network infrastructure  processing that data and deriving value from it. This includes building all aspects of the analytics platform  from ingestion to analytics and machine learning processes and finally reporting.  We want to hire unbelievably bright developers  who are a joy to work with  love to work with others  solve problems  listen well  and lead as appropriate. You should have a passion for and experience with distributed systems and big data analytics. We believe in using the best tools for the task at hand so the ability and desire to learn new programming languages and technologies is a must. All of this adds up to an exciting  challenging  and always interesting place to work  where hard problems are found and solved every day.  Requirements   Qualifications  + years software development experience. 3+ years experience with a modern programming language like  Scala  Java  C# or Python.  + years of experience designing  building and operating highly available  highly reliable distributed systems. Solid understanding of NoSQL databases and document stores  like Hadoop and Elasticsearch  Good collaboration and communication skills. Additional Qualifications In addition strong candidates would have some of the following    + years developing distributed cloud architectures and infrastructure using tools like Ansible or SaltStack.  + years using traditional data warehouse tools such as SQL Server or Oracle Experience with Kafka   Spark or another  similar distributed streaming platform. Linux administration and scripting skills. Experience working on an agile team delivering features every few weeks  #LI POST    Alternate Location     US Washington Bellevue   Requisition #                        This job may require successful completion of an online assessment. A brief description of the assessments can be viewed on our website at     http   find.centurylink.jobs testguides           EEO Statement     No Discrimination. We are committed to providing equal employment opportunities to all persons regardless of race  color  ancestry  citizenship  national origin  religion  veteran status  disability  genetic characteristic or information  age  gender  sexual orientation  marital status  family status  pregnancy  or other legally protected status  collectively   protected statuses  . We do not tolerate unlawful discrimination in any employment decisions  including recruiting  hiring  compensation  promotion  benefits  discipline  termination  job assignments or training. Any offer of employment is contingent upon the results of a pre employment drug test and background check.     Disclaimer     The above job definition information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties  responsibilities  and qualifications required of employees assigned to this job. Job duties and responsibilities are subject to change based on changing business needs and conditions.       Department   Engineering IT Jobs   ,"Bellevue, WA",5 hours ago,Principal Software Development Engineer
88,King County Information Technology, King County s Radio Communication Services Section  RCS  is in search of two Electronic Communications Technicians I  ECT I   for 3  month Term Limited Temporary positions.  These position swill perform skilled technical work programming  installing  and troubleshooting mobile and portable two way radios  mobile data devices and fixed site equipment.  Additionally  the ECT I s will assist Electronic Communications Systems Technicians with installation and maintenance of land mobile radio equipment and related auxiliary equipment.  The ideal candidate is customer focused with the ability to establish and maintain effective relationships.WORK SCHEDULE   This position is overtime eligible based on a    hour workweek   Monday   Friday with normal work hours of   3  a.m.     p.m. ,"Seattle, WA",5 days ago,Electronic Communication Technician I
89,Ciber, Live IT Up at CiberAt Ciber  we believe the most inspired  innovative and industrious companies should win  regardless of size or legacy. Were the small company that cares and the big company that can. We deliver breakthrough performances and powerful solutions that are anything but cookie cutter in order to give our clients the competitive advantage they deserve.  Work.Role Description  Interface with clients on technical matters and or project subject matters from project initiation through delivery.  Provide program project schedules and status reports  drive scrum meetings.  Create the functional specification  requirements and or scope that will be used as a tool in making decisions as to how the product  service and or project will be implemented.  Provide technical and or analytical information to Product Managers or Support  if troubleshooting  as required.  Organize cross functional activities ensuring that the program is completed on schedule and within budget constraints. May manage oversee project.   3    years of experiencePrior Business Intelligence experience.Experience with Power BI Experience with Azure  data warehouses Experience with in an agile Scrum environmentAble to meeting deadlines and produce high quality of workAbility to effectively and efficiently communicate with internal and external stakeholders  including offshore teamAbility to manage multiple projects and tasksThis position requires the successful completion of a background investigation and or drug screen.Ciber  Inc. is an Equal Opportunity Employer Minorities Females Gender Identity Sexual Orientation Protected Veterans Individuals with Disabilities. Learn.Talent Services bring clients a range of staffing solutions  from a single contractor to a team of experts to help achieve their key business goals on target and within budget. Our talent sourcing model uncovers the right IT talent and aligns critical skills with client technology  culture  and expectations.Grow. Ciber is a global IT consulting company with approximately       employees in North America  Europe and Asia Pacific. Ciber partners with organizations to develop technology strategies and solutions that deliver tangible business value. Founded in       the company trades on the New York Stock Exchange  CBR . For more information  visit www.Ciber.com. ,"Redmond, WA",22 minutes ago,Program Manager
90,TRIAD Group, Senior Principal EngineerLocation  SeattleCompensation  Super Deluxe Compensation Package   Robust Base + Bonus + Excellent BenefitsDuration  Full time Direct Hire Our Seattle client is looking for a Senior Principal Engineer with heavy real time  Big Data  processing experience to help build a revolutionary platform capable of handling up to   Billion transactions per second. We re looking for highly skilled Engineers with experience using tools like Storm  Spark Streaming  Kinesis  Flink  Samza  Kafka  S   Apex  etc. So  heavy real time processing of enormous amounts of small data  NOT  batch processing of large data  Hadoop  Map Reduce  Hive  etc. . You will be working on thebleeding edge of Big Data IoT.  Predictive Analytics at massive scale   Main responsibilitiesWork closely with product owners and engineers to design  implement  test and continually improve low latency and highly scalable web services running on open source stacks  Linux  Java .Develop products using agile methods and tools.Develop world class software that is user friendly and suitable for global audience.Investigate  evaluate  and present new technologies for use with web services.Drive design reviews  code reviews of your work and the work of your peer engineers.Drive architecture and design efforts across multiple teams.Be a technical lead for key complex systems or services  working closely with other engineers and testers to deliver high quality software on time.Mentor and assist other engineers in your areas of ownership and expertise.Required qualificationsB.S. in Computer Science or equivalent.  + years software development experience building low latency and highly scalable commercial  web services. + years programming with Java stack and related open source technologies Exceptional OO design and programming principles.Strong understanding of data modeling techniques using relational and non relational techniques.Highly entrepreneurial  flexible Preferred qualificationsIn depth experience developing  highly scalable production  systems in AWS.In depth experience with NoSQL systems   Cassandra  HBase  MongoDB  Redis  DynamoDB  SimpleDB  etc .       Qualified candidates   Please select  apply now  and send us a current resume. Keywords Apache Storm  Spark Streaming  Kinesis  Flink  Samza  Kafka  Java  Scala  S   Apex  IoT  Big Data  Real time  Predictive Analytics  Data Modeling  Event processing  Linux  high scale  low latency  AWS  Cassandra  HBase  MongoDB  Redis  DynamoDB  SimpleDB ,"Seattle, WA",4 hours ago,Senior Principal Engineer
91,BroadPoint Group, Sr. Back End DeveloperIf your passion is back end development and large distributed data storage systems   finding solutions to complex technical problems and have extensive backend development experience   this team is the place for you In this role you will Design  code and maintain high performance data search and retrieval applicationsManage our distributed databases servicing real time user queriesWrite code touching all aspects of our data services   data storage  service interface  monitoring and alertingWrite highly performant  maintainable code that is easy to read and well documentedWrite automated tests to thoroughly validate the correctness of your codeParticipate in the full life cycle of defining  architecting  building  testing  and maintaining and improving featuresOur ideal candidate will have Experience with one or more of  Riak  Cassandra  DynamoDB  or other distributed database systemsExperience coding in a JVM language  with fluency in C#  Java and or ScalaExpertise in OO design  algorithms  and data structuresExperience deploying  momitoring  and tuning storage and sercice solutions in the cloudA Computer Science or related degreeBonus points if you have experience with API DevelopmentBig Data processing frameworks like Hadoop and SparkDocker  Ansible  Chef and related dev ops toolchains ,"Seattle, WA",11 hours ago,Sr. Software Engineer (Backend)
92,TRIAD Group, Senior Software Engineer    Web UI Seattle  WADowntown Seattle client is going through incredible growth is looking for a few very strong senior engineers to have an opportunity to work on a their unique SaaS platform utilizing the latest Machine Learning  open source and Big Data technologies. You will have an opportunity to showcase your front end UI skills and build web applications for our customers. You will be able to design and implement visualizations for presenting data from large data sets.Requirements   + years of software development working with web technologies such as JavaScript  HTML  CSS  JSON  Working with some of the latest JavaScript libraries  focus on Angular.js and JQuery Ability to work closely with a highly technical team and enjoy learning new technologies  Ability to be nimble and work on various features  initiatives the team needs Experience developing big data solutions utilizing Hadoop technologies is preferred  BS or MS in Computer Science  Engineering  Physics  Math  or related fields or equivalent work experienceBonus  Bootstrap  D3 Visualizations of large data setsInterested in learning more  Please send your resume to jeffr triadgroup.com All inquiries will be treated confidentially.Thank you Jeff RoodhouseJeffr triadgroup.com             x   TRIAD Group ,"Seattle, WA",1 week ago,Senior/Lead Web UI Engineer
93,CyberCoders,    Minimum Required Skills Java Server Side Software Design and Development  Core Java and Multithreading  REST  SOA  Enterprise App Integration Technologies   Patterns  High Volume Enterprise Class Environments  Persistence  SQL or NoSql    Data Modeling   SQL  JSON and XML  Data Binding Technologies  Jackson and JAXB   Spring or Other Dependency Injection FrameworksIf you are a Senior Java Engineer with a strong Core Java and Multithreading background  please read on Top Reasons to Work with Us . We are a rapidly growing division of a        employee information technology company. . Based in Seattle  we have become a leader in the Enterprise Mobile Engagement space.3. You will have the chance to work on exciting new projects with a talented team.What You Will Be DoingWe are currently seeking Java developers to design  build  configure  and test application software that will be part of our platform. The platform is a service oriented architecture solution consisting of a growing number of web services related to SMS and MMS. As a developer  you will work on a small  dedicated service team which is responsible for the design  development and maintenance of the service. You will ensure your service will be able to scale while maintaining high performance in a   .    uptime environment. The technology stacks and build environment vary by service  but may include technologies such as  ZooKeeper  Cassandra  Hadoop  Hibernate  Spring  JMX  Tomcat  Maven  MySQL and Linux.What You Need for this Position Strong problem solving skills Great communication and collaboration skills and a strong teamwork ethic   or more years of Expert Level Java server side software design and development Solid core Java and multithreading experience Experience with REST  SOA and enterprise application integration technologies and patterns In depth knowledge of implementing complex Web based systems in high volume enterprise class environments An understanding of persistence  SQL or NoSql   data modeling and SQL Knowledge of JSON and XML Experience with data binding technologies  e.g. Jackson and JAXB Nice to have Experience in an Agile Scrum work environment Experience with Hibernate  JPA  Spring Data  or other ORM library Experience with Spring Framework or other dependency injection framework Experience with Maven and GitWhat s In It for You Competitive Base Salary     k PTO Vacation Medical Dental Vision BenefitsSo  if you are a Senior Java Engineer with a strong Core Java and Multithreading background  please apply today Applicants must be authorized to work in the U.S.Please apply directly to by clicking  Click Here to Apply  with your Word resume Looking forward to receiving your resume and going over the position in more detail with you.  Not a fit for this position  Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume CyberCodersCyberCoders  Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race  color  religion  sex  national origin  disability  protected veteran status  or any other characteristic protected by law.Your Right to Work   In compliance with federal law  all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright               . CyberCoders  Inc. All rights reserved.   ,"Seattle, WA",16 hours ago,Senior Java Software Engineer -- Leader in the Mobile Space
94,Intelecox Inc., Global Talent Acquisition is seeking a Senior Business Analyst to build global contingent workforce program reporting infrastructure.In this role  you will work closely with cross functional teams and be one of the main conduits between our external vendors and our global functional teams including AP  Finance  HRIS  and Hiring Managers across multiple business lines. In addition to being responsible for the overall reporting in this space  you will also own developing a data framework to ensure data quality. This includes support activities such as resolving critical issues  serving as data quality advocate with regular system audits to ensure complete and accurate reporting  summarizing written findings  publicizing results  and engaging with leadership. This role is a driver of data analysis  validation  and reconciliation.You will be able to apply a breadth of tools  data sources  and analytical techniques to help us answer a wide range of questions and present the insights in a concise and effective manner in order to influence. Primary Responsibilities      Years of Experience Drive understanding of all contingent workforce reporting needs globally by gathering business requirements by collaborating with multiple departments including Finance  Tax  Supply Chain  Procurement  and HRIS.Build and maintain tools  analytics  and reporting to highlight key factors impacting the program.Lead key initiatives related to management and deliver actionable insights on performance of program and opportunities to improve.Develop and deliver content for cross functional operational reviews with internal leadership ,"Seattle, WA",13 hours ago,SENIOR BUSINESS ANALYST - CONTINGENT WORKFORCE REPORTING
95,PeerSource, Want to join a Fortune     backed software startup that works with bleeding edge technologies in the BI data analytics space  How about      paid individual family benefits  free food and drinks  gym membership  and more     PeerSource is currently recruiting for multiple Software Support Engineers on a Direct Hire basis for our client in Bellevue  WA. Summary The Product Support team is the first point of contact for our client s customers. They field and triage all customer requests. This includes working directly with the customer to troubleshoot  document enhancements and answer a wide variety of technical questions. The right candidate for this position enjoys providing support to other IT professionals in a fast paced environment with lots of technical variety. ResponsibilitiesProvide general product support for installation  configuration  and implementation of the Software Suite in a timely manner with a high level of communication and appropriate establishment of expectations.Document defects and enhancement requests for the customerCommunicating effectively with the Engineering and Product Management teams to reproduce  resolve and document support cases as an advocate for the customerMaintaining an accurate and complete description of cases managed through the case tracking and problem management system. Required Skills + years of experience installing  administering and maintaining computer systems and applications in an enterprise IT environment.Professional experience in troubleshooting  maintaining  or developing data driven applications connected to relations databases  XML sources  web services  flat file  and big data driven backend system.Hands on experience on one of the following core technologies including Web development tools like Java  JSP  XML  HTML  JDBC JNDIOperating Systems like Linux  Windows  SolarisApplication servers like Tomcat  JBoss  WebSphere  WebLogicDatabases like Oracle  MySQL  SQL Server  Big DataClient side technologies like JavaScriptExcellent analytical  debugging and problem solving skills.Ability to systematically assess and accurately diagnose software related problems  both individually and within a team setting .B.A. or B.S. Degree from an accredited university  may substitute an Associate s degree plus   additional years of experience .Preferred SkillsFluency in multiple languages  English  French  German  Spanish .Professional technical certifications.Experience deploying Business Intelligence  BI  related software and or building reports within BI related software.Familiarity with Cloudera  Hadoop   MapReduce technologies  Amazon Web Services   other data housing technologies.No third parties.   Sorry  relocation is not available for this position.H  sponsorship is not available. PeerSource  a Denver based technology recruiting firm  values strong relationships with talented professionals  We offer contract  contract to hire and direct hire opportunities throughout the US and support W  as well independent consultants working on a Corp to Corp basis. Sorry  but at this time we do not work with other agencies representing their own Corp to Corp candidates. W  employee benefits with PeerSource include options for health   dental insurance  a matching retirement plan as well as reimbursements for education and training related expenses  Contact us for more details. ,"Bellevue, WA",1 day ago,Software Support Engineer
96,CyberCoders,    Minimum Required Skills Machine Learning  Natural Language Processing  NLP   Graph Theory   Probabilistic graphical modeling  Speech Recognition  Model design  visualization  Pattern Recognition  Data Science  Deep LearningCutting edge tech company offer amazing perks for a Machine Learning Engineer in our fun and collaborative environment.Position We are looking for someone experienced with modern data mining techniques and technologies e.g. machine learning  natural language processing  probabilistic models  speech technologies  model design and visualization.Working at our company This is a place where people want to come to work. That s because we know life isn t all about that. People need to be happy and healthy to have the freedom to excel at what they do.While culture is a lot more than perks and benefits  they say a lot about a company and what it values. From our approach to work life balance to membership at the local gym and even our friendly neighborhood office  we give our team what we need as people to do our best work as employees.Location Located one block from the tree lined streets in Seattle s historic Ballard neighborhood. Have your coffee in the park. Pop into one of the many cafes and restaurants for lunch. Catch a drink after work with friends  or browse the little mom and pop shops. On Sundays  there s even a local farmers  market.Work Hours We understand that the traditional work day isn t right for everyone and every task. Our employees use their best judgment regarding work hours and working from home. We re happy to work with our employees to find the right the fit for them and their teams.Life Emphasis We re supportive of our employees livesfrom the everyday to the wonderful and even the tragic. If a team member requires time to take care of individual or family needs  we have the flexibility to make that happen. If it s a priority for you  it s a priority for us.Vacation time We believe individuals have the best sense for how much vacation they should take. That s why our employees do not accrue traditional paid time off. We encourage our employees to take time off as neededwhether for a family vacations  irregularly scheduled sun days  or simply some time for themselves.Holidays Employees are strongly encouraged to take time off for any religious holidays that are meaningful to them or their families.Pluto also officially closes our office during the major United States federal holidays  New Year s Day Martin Luther King Jr Day George Washington s Birthday Memorial Day  last Monday in May  Independence Day Labor Day  first Monday in September  Indigenous Peoples  Day  second Monday in October  Thanksgiving Day Christmas DayHealth Care We provide medical  dental  and vision benefits. We take care of      of our employees  health benefits and     of their families .Gym membership Every Pluto employee has access to the Olympic Athletic Club  right across the street from our office. They have racquetball courts  yoga  a basketball court  swimming pool  child services  and our personal favorite  rowing machines.Haircuts Walk a half block down the street to Rudy s for a bimonthly haircut  on us. What can we say  When you take care of yourself  you feel good. That s what we re all about.What You Will Be DoingSomeone experienced with modern data mining techniques and technologies e.g. machine learning  natural language processing  probabilistic models  speech technologies  model design  visualization.What You Need for this PositionMore Than   Years of experience and knowledge of   Machine Learning  Natural Language Processing  NLP   Graph Theory   Probabilistic graphical modeling  Speech Recognition  Model design  visualization  Pattern Recognition  Data Science  Deep LearningSo  if you are a Machine Learning Engineer with experience  please apply today Applicants must be authorized to work in the U.S.Please apply directly to by clicking  Click Here to Apply  with your Word resume Looking forward to receiving your resume and going over the position in more detail with you.  Not a fit for this position  Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume CyberCodersCyberCoders  Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race  color  religion  sex  national origin  disability  protected veteran status  or any other characteristic protected by law.Your Right to Work   In compliance with federal law  all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright               . CyberCoders  Inc. All rights reserved.   ,"Seattle, WA",16 hours ago,Machine Learning Engineer
97,Volt, Volt is looking for a full time Product Manager to join my clients team in Seattle WA. This role you will help tackle incredibly exciting challenges  with a strong focus on expanding my client s international scope by sourcing  analyzing  and productizing global identity data. In this role you will      Work to understand a problem and establish a viable solution via market research and testing   Coordinate decisions and work across technical and non technical teams   Establish data driven consensus around business priorities   Run tests and proof of concepts with large data files and 3rd party APIs   Coordinate a product  service  major feature or component and be responsible for its on time delivery   Perform complex data analysis via Excel  R  etc.Requirements   3+ years of experience in a data related product management role    + years of strong analytical experience with Excel  R  or a similar analytics program   Ability to code in Ruby  Python  etc. to build proof of concepts.   Strong interpersonal   written communication skills   Experience developing product roadmaps and delivering against project deadlines   BS or advanced degree in relevant field  statistics  business admin  computer science    MBA Preferred To learn more about Volt  please visit  http   www.volt.com and to see more of our job postings  please visit  http   jobs.volt.com Volt is an Equal Opportunity Employer.  Date Posted             Department   Computer Industry   ,"Seattle, WA",16 hours ago,Product Manager
98,"QCT, LLC", This position is responsible for the facilitation of information into the proper system as well as communiation internally and externally for flawless executioon of customer orders.  This includes incoming  open  producgtion orders plan  work order status  WIP   shipment readiness  reconciliation reporting  PM reporting master management  PSR update  customer order reporting Ability to prioritize and set goals to achieve company objectives.  Ability to multi task and work independently.  Manage vital data for successful delivery of production using external and or external Data reporting and Internal Quanta Manufacturing Systems.  Maintain and update order information into customer system.  Accurate and timely responses to customer request.  Tracking and communication of customer shipments requirement internally.  Work with the Global support team to resolve and escalation issues.  Possess the ability to influence groups without formal authority to get tasks compete.  Ensure weekly and daily required reports that summarize production activity and order status are updated  on time  and manintained.Experience with Data Web portal and Internal Shop floor systems a plus.  Strong ability to handle multiple tasks  prioritize and use time effectively in a fast paced environment.  Fluent in the use of computers and software programs  especially Microsoft Office and Excel.  Must possess excellent communication skills at all levels  especially with the customer.  Must be able to understand different cultures and develope effective work relationships to accomplish assigned tasks.  Hours must be flexible.  Perfor administrative functions as needed.  Strong ability to influence groups and get tasks completed.  Be very detail oriented and meticulous in conducting your work.  Conduct other duties as requested by Program Manager.  Knowledge of SQL and ERPis a plus.  Must be a Team Player. ,"Bellevue, WA",2 weeks ago,Supply Chain Specialist
